,type,id,lat,lon,name,place,name:ru,postal_code,wikidata,wikipedia,is_in,name:lt,source,alt_name,is_in:district,population,is_in:country,is_in:region,website,name:es,name:ar,name:ur,wikipedia:en,created_by,name:en,name:uk,old_name,GNS:dsg_code,GNS:id,capital,facebook,geometry
204,node,5762513401,-20.5532446,17.8571561,Omatupa,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.8571561 -20.5532446)
205,node,5796066872,-20.362057,17.8944116,Orauku,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.8944116 -20.362057)
206,node,5815111408,-20.3903753,17.8636821,Okangoho,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.8636821 -20.3903753)
207,node,5815125823,-20.4327984,17.7823694,Ombinda,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.7823694 -20.4327984)
208,node,5815206874,-20.5685113,17.5528206,Okatuwo,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.5528206 -20.5685113)
209,node,5819909377,-21.0349638,16.8195823,Sukses,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.8195823 -21.0349638)
210,node,5928610849,-18.8222893,14.0023434,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.0023434 -18.8222893)
211,node,5931484061,-18.358507,14.1115361,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.1115361 -18.358507)
212,node,5931484418,-18.3422138,14.1146636,Otsivu,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.1146636 -18.3422138)
213,node,5931484506,-18.323434,14.056406,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.056406 -18.323434)
214,node,5933690770,-18.5384446,14.2710525,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.2710525 -18.5384446)
215,node,5943402392,-18.0737848,16.2454577,Onyaanya,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.2454577 -18.0737848)
216,node,5945849464,-20.5905413,17.7963374,Otjjase,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.7963374 -20.5905413)
217,node,5945937061,-18.2720972,16.4779115,Okapuko,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.4779115 -18.2720972)
218,node,6067250090,-17.6424471,15.9268639,Ongha,village,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.9268639 -17.6424471)
219,node,6669837984,-17.7747818,15.5765092,Uukwangula,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.5765092 -17.7747818)
220,node,6845007988,-17.5897011,15.9976562,Onamahoka,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.9976562 -17.5897011)
221,node,6847390983,-17.6835587,16.0593128,Onamukulo,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.0593128 -17.6835587)
222,node,6851569407,-18.378574,17.8710478,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.8710478 -18.378574)
223,node,7260725550,-20.5759032,17.8322696,Otuvingo,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.8322696 -20.5759032)
224,node,7260725552,-20.8274883,17.7492284,Okomumbonde,hamlet,,,,,,,,Ombooronde,,,,,,,,,,,,,,,,,,POINT (17.7492284 -20.8274883)
225,node,7260725554,-20.8207495,17.6856708,Ovitatu,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.6856708 -20.8207495)
226,node,7260725555,-20.6853832,17.911478,,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.911478 -20.6853832)
227,node,7270553181,-17.635326,17.3034452,Oshatotwa,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.3034452 -17.635326)
228,node,7270675963,-17.9842151,16.0210914,Olukonda,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (16.0210914 -17.9842151)
229,node,7396285516,-20.9168219,15.1583964,Oputua,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (15.1583964 -20.9168219)
230,node,7425734238,-18.2983816,14.0702746,Okaihele,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (14.0702746 -18.2983816)
231,node,7521826150,-17.6549121,17.4722164,Omupini,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.4722164 -17.6549121)
232,node,7521881713,-17.649842,17.5427921,Oshalumbu,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.5427921 -17.649842)
233,node,7521982507,-17.6319995,17.6336254,Onghalulu,hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (17.6336254 -17.6319995)
